quarter,flat_type,no_of_approvals
2007-Q1,1-room,1
2007-Q1,2-room,22
2007-Q1,3-room,847
2007-Q1,4-room,735
2007-Q1,5-room,602
2007-Q1,Executive,239
2007-Q2,1-room,5
2007-Q2,2-room,38
2007-Q2,3-room,1279
2007-Q2,4-room,1078
2007-Q2,5-room,854
2007-Q2,Executive,338
2007-Q3,1-room,4
2007-Q3,2-room,26
2007-Q3,3-room,1253
2007-Q3,4-room,1040
2007-Q3,5-room,856
2007-Q3,Executive,304
2007-Q4,1-room,1
2007-Q4,2-room,35
2007-Q4,3-room,1204
2007-Q4,4-room,1017
2007-Q4,5-room,762
2007-Q4,Executive,268
2008-Q1,1-room,1
2008-Q1,2-room,30
2008-Q1,3-room,1297
2008-Q1,4-room,1109
2008-Q1,5-room,843
2008-Q1,Executive,301
2008-Q2,1-room,2
2008-Q2,2-room,43
2008-Q2,3-room,1439
2008-Q2,4-room,1286
2008-Q2,5-room,974
2008-Q2,Executive,378
2008-Q3,1-room,4
2008-Q3,2-room,31
2008-Q3,3-room,1350
2008-Q3,4-room,1279
2008-Q3,5-room,969
2008-Q3,Executive,323
2008-Q4,1-room,0
2008-Q4,2-room,49
2008-Q4,3-room,1307
2008-Q4,4-room,1137
2008-Q4,5-room,901
2008-Q4,Executive,291
2009-Q1,1-room,4
2009-Q1,2-room,35
2009-Q1,3-room,1293
2009-Q1,4-room,1106
2009-Q1,5-room,809
2009-Q1,Executive,278
2009-Q2,1-room,1
2009-Q2,2-room,49
2009-Q2,3-room,1287
2009-Q2,4-room,1297
2009-Q2,5-room,892
2009-Q2,Executive,336
2009-Q3,1-room,3
2009-Q3,2-room,37
2009-Q3,3-room,1398
2009-Q3,4-room,1190
2009-Q3,5-room,923
2009-Q3,Executive,297
2009-Q4,1-room,2
2009-Q4,2-room,56
2009-Q4,3-room,1372
2009-Q4,4-room,1253
2009-Q4,5-room,936
2009-Q4,Executive,283
2010-Q1,1-room,2
2010-Q1,2-room,72
2010-Q1,3-room,2604
2010-Q1,4-room,2034
2010-Q1,5-room,1422
2010-Q1,Executive,472
2010-Q2,1-room,0
2010-Q2,2-room,80
2010-Q2,3-room,2981
2010-Q2,4-room,2378
2010-Q2,5-room,1647
2010-Q2,Executive,509
2010-Q3,1-room,6
2010-Q3,2-room,78
2010-Q3,3-room,2933
2010-Q3,4-room,2419
2010-Q3,5-room,1630
2010-Q3,Executive,474
2010-Q4,1-room,5
2010-Q4,2-room,74
2010-Q4,3-room,2129
2010-Q4,4-room,1885
2010-Q4,5-room,1394
2010-Q4,Executive,381
2011-Q1,1-room,2
2011-Q1,2-room,80
2011-Q1,3-room,2289
2011-Q1,4-room,2102
2011-Q1,5-room,1441
2011-Q1,Executive,451
2011-Q2,1-room,2
2011-Q2,2-room,77
2011-Q2,3-room,2594
2011-Q2,4-room,2317
2011-Q2,5-room,1678
2011-Q2,Executive,509
2011-Q3,1-room,5
2011-Q3,2-room,70
2011-Q3,3-room,2394
2011-Q3,4-room,2146
2011-Q3,5-room,1507
2011-Q3,Executive,427
2011-Q4,1-room,3
2011-Q4,2-room,68
2011-Q4,3-room,2202
2011-Q4,4-room,1962
2011-Q4,5-room,1400
2011-Q4,Executive,404
2012-Q1,1-room,5
2012-Q1,2-room,69
2012-Q1,3-room,2300
2012-Q1,4-room,2166
2012-Q1,5-room,1676
2012-Q1,Executive,437
2012-Q2,1-room,1
2012-Q2,2-room,87
2012-Q2,3-room,2421
2012-Q2,4-room,2158
2012-Q2,5-room,1720
2012-Q2,Executive,504
2012-Q3,1-room,1
2012-Q3,2-room,74
2012-Q3,3-room,2516
2012-Q3,4-room,2331
2012-Q3,5-room,1725
2012-Q3,Executive,495
2012-Q4,1-room,5
2012-Q4,2-room,80
2012-Q4,3-room,2339
2012-Q4,4-room,2053
2012-Q4,5-room,1520
2012-Q4,Executive,446
2013-Q1,1-room,3
2013-Q1,2-room,89
2013-Q1,3-room,2673
2013-Q1,4-room,2385
2013-Q1,5-room,1762
2013-Q1,Executive,498
2013-Q2,1-room,4
2013-Q2,2-room,111
2013-Q2,3-room,2836
2013-Q2,4-room,2476
2013-Q2,5-room,1918
2013-Q2,Executive,546
2013-Q3,1-room,5
2013-Q3,2-room,79
2013-Q3,3-room,2701
2013-Q3,4-room,2433
2013-Q3,5-room,1747
2013-Q3,Executive,540
2013-Q4,1-room,2
2013-Q4,2-room,72
2013-Q4,3-room,2551
2013-Q4,4-room,2373
2013-Q4,5-room,1770
2013-Q4,Executive,500
2014-Q1,1-room,3
2014-Q1,2-room,93
2014-Q1,3-room,2989
2014-Q1,4-room,2666
2014-Q1,5-room,2107
2014-Q1,Executive,627
2014-Q2,1-room,2
2014-Q2,2-room,114
2014-Q2,3-room,3032
2014-Q2,4-room,2677
2014-Q2,5-room,2063
2014-Q2,Executive,567
2014-Q3,1-room,4
2014-Q3,2-room,117
2014-Q3,3-room,3134
2014-Q3,4-room,2888
2014-Q3,5-room,2170
2014-Q3,Executive,610
2014-Q4,1-room,3
2014-Q4,2-room,121
2014-Q4,3-room,3552
2014-Q4,4-room,3355
2014-Q4,5-room,2558
2014-Q4,Executive,776
2015-Q1,1-room,4
2015-Q1,2-room,119
2015-Q1,3-room,3540
2015-Q1,4-room,3357
2015-Q1,5-room,2605
2015-Q1,Executive,760
2015-Q2,1-room,2
2015-Q2,2-room,126
2015-Q2,3-room,3562
2015-Q2,4-room,3471
2015-Q2,5-room,2613
2015-Q2,Executive,736
2015-Q3,1-room,1
2015-Q3,2-room,113
2015-Q3,3-room,3496
2015-Q3,4-room,3246
2015-Q3,5-room,2491
2015-Q3,Executive,672
2015-Q4,1-room,3
2015-Q4,2-room,115
2015-Q4,3-room,3618
2015-Q4,4-room,3462
2015-Q4,5-room,2681
2015-Q4,Executive,739
2016-Q1,1-room,2
2016-Q1,2-room,132
2016-Q1,3-room,3783
2016-Q1,4-room,3682
2016-Q1,5-room,2847
2016-Q1,Executive,793
2016-Q2,1-room,6
2016-Q2,2-room,140
2016-Q2,3-room,3942
2016-Q2,4-room,3969
2016-Q2,5-room,2944
2016-Q2,Executive,823
2016-Q3,1-room,4
2016-Q3,2-room,119
2016-Q3,3-room,3605
2016-Q3,4-room,3558
2016-Q3,5-room,2712
2016-Q3,Executive,791
2016-Q4,1-room,5
2016-Q4,2-room,105
2016-Q4,3-room,3414
2016-Q4,4-room,3602
2016-Q4,5-room,2788
2016-Q4,Executive,764
2017-Q1,1-room,2
2017-Q1,2-room,121
2017-Q1,3-room,3268
2017-Q1,4-room,3364
2017-Q1,5-room,2577
2017-Q1,Executive,649
2017-Q2,1-room,3
2017-Q2,2-room,122
2017-Q2,3-room,3515
2017-Q2,4-room,3770
2017-Q2,5-room,2786
2017-Q2,Executive,733
2017-Q3,1-room,3
2017-Q3,2-room,135
2017-Q3,3-room,3438
2017-Q3,4-room,3646
2017-Q3,5-room,2748
2017-Q3,Executive,728
2017-Q4,1-room,3
2017-Q4,2-room,130
2017-Q4,3-room,3707
2017-Q4,4-room,3779
2017-Q4,5-room,2892
2017-Q4,Executive,768
2018-Q1,1-room,0
2018-Q1,2-room,128
2018-Q1,3-room,3824
2018-Q1,4-room,3949
2018-Q1,5-room,2980
2018-Q1,Executive,840
2018-Q2,1-room,3
2018-Q2,2-room,131
2018-Q2,3-room,3717
2018-Q2,4-room,4230
2018-Q2,5-room,3126
2018-Q2,Executive,817
2018-Q3,1-room,3
2018-Q3,2-room,165
2018-Q3,3-room,3651
2018-Q3,4-room,3893
2018-Q3,5-room,2800
2018-Q3,Executive,704
2018-Q4,1-room,3
2018-Q4,2-room,154
2018-Q4,3-room,3745
2018-Q4,4-room,3945
2018-Q4,5-room,2900
2018-Q4,Executive,732
2019-Q1,1-room,3
2019-Q1,2-room,153
2019-Q1,3-room,3740
2019-Q1,4-room,4076
2019-Q1,5-room,3025
2019-Q1,Executive,778
2019-Q2,1-room,4
2019-Q2,2-room,168
2019-Q2,3-room,4054
2019-Q2,4-room,4185
2019-Q2,5-room,3140
2019-Q2,Executive,784
2019-Q3,1-room,2
2019-Q3,2-room,172
2019-Q3,3-room,3815
2019-Q3,4-room,4303
2019-Q3,5-room,2947
2019-Q3,Executive,767
2019-Q4,1-room,3
2019-Q4,2-room,182
2019-Q4,3-room,3736
2019-Q4,4-room,4273
2019-Q4,5-room,3069
2019-Q4,Executive,816
2020-Q1,1-room,2
2020-Q1,2-room,182
2020-Q1,3-room,3716
2020-Q1,4-room,4046
2020-Q1,5-room,2939
2020-Q1,Executive,706
2020-Q2,1-room,6
2020-Q2,2-room,128
2020-Q2,3-room,3278
2020-Q2,4-room,3735
2020-Q2,5-room,2712
2020-Q2,Executive,680
2020-Q3,1-room,2
2020-Q3,2-room,140
2020-Q3,3-room,2823
2020-Q3,4-room,2880
2020-Q3,5-room,1904
2020-Q3,Executive,447
2020-Q4,1-room,4
2020-Q4,2-room,145
2020-Q4,3-room,2686
2020-Q4,4-room,3032
2020-Q4,5-room,2103
2020-Q4,Executive,502
2021-Q1,1-room,2
2021-Q1,2-room,141
2021-Q1,3-room,3445
2021-Q1,4-room,3731
2021-Q1,5-room,2682
2021-Q1,Executive,675
2021-Q2,1-room,3
2021-Q2,2-room,144
2021-Q2,3-room,3533
2021-Q2,4-room,3903
2021-Q2,5-room,2747
2021-Q2,Executive,649
2021-Q3,1-room,1
2021-Q3,2-room,155
2021-Q3,3-room,3475
2021-Q3,4-room,3705
2021-Q3,5-room,2443
2021-Q3,Executive,638
