shs_year,flat_type,type_of_family_nucleus,percentage
2008,1-room,Nuclear,44.8
2008,1-room,Extended Nuclear,2.4
2008,1-room,Multi-nuclear,0.7
2008,1-room,Non-nuclear,52.1
2008,2-room,Nuclear,69.2
2008,2-room,Extended Nuclear,2.4
2008,2-room,Multi-nuclear,1
2008,2-room,Non-nuclear,27.5
2008,3-room,Nuclear,72.7
2008,3-room,Extended Nuclear,5
2008,3-room,Multi-nuclear,2.1
2008,3-room,Non-nuclear,20.3
2008,4-room,Nuclear,83.1
2008,4-room,Extended Nuclear,7.4
2008,4-room,Multi-nuclear,5.4
2008,4-room,Non-nuclear,4.1
2008,5-room,Nuclear,83.6
2008,5-room,Extended Nuclear,9.5
2008,5-room,Multi-nuclear,4.7
2008,5-room,Non-nuclear,2.2
2008,Executive,Nuclear,83.6
2008,Executive,Extended Nuclear,11.5
2008,Executive,Multi-nuclear,4.1
2008,Executive,Non-nuclear,0.9
2008,All,Nuclear,79.4
2008,All,Extended Nuclear,7.4
2008,All,Multi-nuclear,4.1
2008,All,Non-nuclear,9.2
2013,1-room,Nuclear,51.5
2013,1-room,Extended Nuclear,3.8
2013,1-room,Multi-nuclear,1.9
2013,1-room,Non-nuclear,42.8
2013,2-room,Nuclear,69.4
2013,2-room,Extended Nuclear,3.2
2013,2-room,Multi-nuclear,1.7
2013,2-room,Non-nuclear,25.7
2013,3-room,Nuclear,69.9
2013,3-room,Extended Nuclear,6
2013,3-room,Multi-nuclear,4
2013,3-room,Non-nuclear,20.1
2013,4-room,Nuclear,79.5
2013,4-room,Extended Nuclear,9.5
2013,4-room,Multi-nuclear,6.7
2013,4-room,Non-nuclear,4.3
2013,5-room,Nuclear,80.8
2013,5-room,Extended Nuclear,9.9
2013,5-room,Multi-nuclear,7
2013,5-room,Non-nuclear,2.3
2013,Executive,Nuclear,79.5
2013,Executive,Extended Nuclear,7.8
2013,Executive,Multi-nuclear,11.6
2013,Executive,Non-nuclear,1.1
2013,All,Nuclear,76.3
2013,All,Extended Nuclear,8.3
2013,All,Multi-nuclear,6.2
2013,All,Non-nuclear,9.2
2018,1-room,Nuclear,49.3
2018,1-room,Extended Nuclear,2.1
2018,1-room,Multi-nuclear,na
2018,1-room,Non-nuclear,48.2
2018,2-room,Nuclear,66.4
2018,2-room,Extended Nuclear,4.1
2018,2-room,Multi-nuclear,1.2
2018,2-room,Non-nuclear,28.4
2018,3-room,Nuclear,66.9
2018,3-room,Extended Nuclear,4.2
2018,3-room,Multi-nuclear,3
2018,3-room,Non-nuclear,25.9
2018,4-room,Nuclear,78.3
2018,4-room,Extended Nuclear,7.7
2018,4-room,Multi-nuclear,5
2018,4-room,Non-nuclear,8.9
2018,5-room,Nuclear,83.3
2018,5-room,Extended Nuclear,6.6
2018,5-room,Multi-nuclear,5.7
2018,5-room,Non-nuclear,4.4
2018,Executive,Nuclear,80.2
2018,Executive,Extended Nuclear,9.1
2018,Executive,Multi-nuclear,7.2
2018,Executive,Non-nuclear,3.5
2018,All,Nuclear,75.6
2018,All,Extended Nuclear,6.4
2018,All,Multi-nuclear,4.6
2018,All,Non-nuclear,13.5
